date;rate
"27-12-2013";"540,02"
"30-12-2013";"541,27"
"02-01-2014";"546,08"
"03-01-2014";"547,06"
"06-01-2014";"548,41"
"07-01-2014";"546,88"
"08-01-2014";"548,81"
"09-01-2014";"548,11"
"10-01-2014";"549,21"
"13-01-2014";"546,51"
"14-01-2014";"545,99"
"15-01-2014";"548,43"
"16-01-2014";"548,80"
"17-01-2014";"549,34"
"20-01-2014";"550,07"
"21-01-2014";"551,69"
"22-01-2014";"550,07"
"23-01-2014";"547,12"
"24-01-2014";"545,20"
"27-01-2014";"546,35"
"28-01-2014";"546,68"
"29-01-2014";"548,39"
"30-01-2014";"549,74"
"31-01-2014";"552,08"
"03-02-2014";"552,83"
"04-02-2014";"551,99"
"05-02-2014";"551,02"
"06-02-2014";"552,95"
"07-02-2014";"549,75"
"10-02-2014";"547,17"
"11-02-2014";"545,64"
"12-02-2014";"549,78"
"13-02-2014";"545,66"
"14-02-2014";"544,39"
"17-02-2014";"544,71"
"18-02-2014";"543,43"
"19-02-2014";"542,90"
"20-02-2014";"544,47"
"21-02-2014";"544,43"
"24-02-2014";"543,31"
"25-02-2014";"542,56"
"26-02-2014";"543,66"
"27-02-2014";"546,46"
"28-02-2014";"540,25"
"03-03-2014";"542,02"
"04-03-2014";"542,03"
"05-03-2014";"543,45"
"06-03-2014";"542,94"
"07-03-2014";"537,14"
"10-03-2014";"537,62"
"11-03-2014";"538,82"
"12-03-2014";"537,39"
"13-03-2014";"535,32"
"14-03-2014";"537,55"
"17-03-2014";"536,70"
"18-03-2014";"536,89"
"19-03-2014";"536,48"
"20-03-2014";"542,38"
"21-03-2014";"541,70"
"24-03-2014";"541,94"
"25-03-2014";"541,35"
"26-03-2014";"541,30"
"27-03-2014";"542,66"
"28-03-2014";"542,60"
"31-03-2014";"541,48"
"01-04-2014";"541,37"
"02-04-2014";"541,15"
"03-04-2014";"542,07"
"04-04-2014";"544,91"
"07-04-2014";"544,04"
"08-04-2014";"542,03"
"09-04-2014";"541,25"
"10-04-2014";"538,41"
"11-04-2014";"538,22"
"14-04-2014";"539,99"
"15-04-2014";"540,91"
"16-04-2014";"539,48"
"22-04-2014";"540,37"
"23-04-2014";"539,72"
"24-04-2014";"540,27"
"25-04-2014";"539,66"
"28-04-2014";"538,54"
"29-04-2014";"539,90"
"30-04-2014";"538,91"
"01-05-2014";"537,85"
"02-05-2014";"538,46"
"05-05-2014";"537,98"
"06-05-2014";"535,25"
"07-05-2014";"535,94"
"08-05-2014";"534,92"
"09-05-2014";"541,62"
"12-05-2014";"542,26"
"13-05-2014";"544,69"
"14-05-2014";"544,11"
"15-05-2014";"546,48"
"19-05-2014";"544,26"
"20-05-2014";"544,78"
"21-05-2014";"545,84"
"22-05-2014";"546,15"
"23-05-2014";"547,62"
"26-05-2014";"547,39"
"27-05-2014";"547,25"
"28-05-2014";"548,43"
"02-06-2014";"548,38"
"03-06-2014";"547,00"
"04-06-2014";"547,70"
"06-06-2014";"546,99"
"10-06-2014";"550,76"
"11-06-2014";"550,79"
"12-06-2014";"551,46"
"13-06-2014";"551,12"
"16-06-2014";"551,07"
"17-06-2014";"549,55"
"18-06-2014";"549,75"
"19-06-2014";"547,46"
"20-06-2014";"548,73"
"23-06-2014";"548,32"
"24-06-2014";"547,42"
"25-06-2014";"547,56"
"26-06-2014";"547,99"
"27-06-2014";"547,51"
"30-06-2014";"545,89"
"01-07-2014";"544,69"
"02-07-2014";"546,01"
"03-07-2014";"546,45"
"04-07-2014";"548,76"
"07-07-2014";"548,57"
"08-07-2014";"548,65"
"09-07-2014";"548,06"
"10-07-2014";"548,02"
"11-07-2014";"548,41"
